Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
0,1,2,0,5,0,5,0,0,0.000000000,0.00000000,-0.00000000,-0.00000000,1
1,1,2,0.01,5,0,5.00001,0.01,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
2,1,2,0.02,5,0,5.00004,0.02,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
3,1,2,0.03,5,0,5.00009,0.03,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
4,1,2,0.04,5,0,5.00016,0.04,0,0.00000000,0.000000000,-0.000000000,-0.000000000,1
5,1,2,0.05,5,0,5.00025,0.05,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
6,1,2,0.06,5,0,5.00036,0.06,0,0.00000000,0.000000000,0.000000000,-0.000000000,1
7,1,2,0.07,5,0,5.00049,0.07,0,0.000000000,0.000000000,0.000000000,-0.000000000,1
8,1,2,0.08,5,0,5.00064,0.08,0,0.000000000,0.000000000,0.000000000,-0.000000000,1
9,1,2,0.09,5,0,5.00081,0.09,0,0.000000000,0.000000000,0.000000000,0.000000000,1
10,1,2,0.1,5,0,5.001,0.1,0,0.000000000,0.000000000,0.000000000,0.000000000,1
11,1,2,0.11,5,0,5.00121,0.11,0,0.000000000,0.00000000,0.000000000,0.000000000,1
12,1,2,0.12,5,0,5.00144,0.12,0,0.000000000,0.000000000,0.000000000,-0.000000000,1
13,1,2,0.13,5,0,5.00169,0.13,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
14,1,2,0.14,5,0,5.00196,0.14,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
15,1,2,0.15,5,0,5.00225,0.15,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
16,1,2,0.16,5,0,5.00256,0.16,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
17,1,2,0.17,5,0,5.00289,0.17,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
18,1,2,0.18,5,0,5.00324,0.18,0,0.000000000,0.00000000,-0.000000000,-0.00000000,1
27,1,2,0.27,5,0,5.00728,0.27,0,-0.000000000,-0.00000000,0.000000000,0.000000000,1
28,1,2,0.28,5,0,5.00783,0.28,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
29,1,2,0.29,5,0,5.0084,0.29,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
30,1,2,0.3,5,0,5.00899,0.3,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
31,1,2,0.31,5,0,5.0096,0.31,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
32,1,2,0.32,5,0,5.01023,0.32,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
33,1,2,0.33,5,0,5.01088,0.33,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
34,1,2,0.34,5,0,5.01155,0.34,0,-0.00000000,-0.000000000,-0.000000000,-0.000000000,1
35,1,2,0.35,5,0,5.01224,0.35,0,0.000000000,0.00000000,-0.000000000,-0.000000000,1
36,1,2,0.36,5,0,5.01294,0.36,0,0.00000000,0.000000000,-0.00000000,-0.000000000,1
37,1,2,0.37,5,0,5.01367,0.37,0,0.000000000,0.000000000,-0.000000000,-0.00000000,1
38,1,2,0.38,5,0,5.01442,0.38,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
39,1,2,0.39,5,0,5.01519,0.39,0,0.000000000,0.000000000,0.000000000,0.000000000,1
40,1,2,0.4,5,0,5.01597,0.4,0,0.000000000,0.000000000,0.000000000,0.000000000,1
41,1,2,0.41,5,0,5.01678,0.41,0,0.000000000,0.000000000,0.000000000,0.000000000,1
42,1,2,0.42,5,0,5.01761,0.42,0,0.000000000,0.000000000,0.000000000,0.00000000,1
43,1,2,0.43,5,0,5.01846,0.43,0,-0.000000000,-0.000000000,0.00000000,0.000000000,1
44,1,2,0.44,5,0,5.01932,0.44,0,-0.000000000,-0.000000000,0.000000000,0.000000,1
45,1,2,0.45,5,0,5.02021,0.45,0,0.000000000,0.000000000,0.000000000,0.000000000,1
46,1,2,0.46,5,0,5.02112,0.46,0,0.000000000,0.000000000,0.000000000,0.000000000,1
