Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
0,1,2,0,0,0,0,0,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
1,1,2,0.01,0.01,0,0.0141421,0.0141421,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
2,1,2,0.02,0.02,0,0.0282843,0.0282843,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
3,1,2,0.03,0.03,0,0.0424264,0.0424264,0,0.000000000,0.000000000,-0.000000000,-0.0000000,1
5,1,2,0.05,0.05,0,0.0707107,0.0707107,0,0.000000000,0.000000000,-0.000000000,0.000000000,1
6,1,2,0.06,0.06,0,0.0848528,0.0848528,0,0.000000000,0.000000000,-0.000000000,0.000000000,1
7,1,2,0.07,0.07,0,0.0989949,0.0989949,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
8,1,2,0.08,0.08,0,0.113137,0.113137,0,0.000000000,-0.000000000,-0.000000000,-0.000000000,1
9,1,2,0.09,0.09,0,0.127279,0.127279,0,-0.000000000,-0.000000000,-0.000000000,-0.0000000,1
13,1,2,0.13,0.13,0,0.183848,0.183848,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
14,1,2,0.14,0.14,0,0.19799,0.19799,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
15,1,2,0.15,0.15,0,0.212132,0.212132,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
16,1,2,0.16,0.16,0,0.226274,0.226274,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
17,1,2,0.17,0.17,0,0.240416,0.240416,0,-0.00000000,-0.000000000,-0.000000000,-0.000000000,1
18,1,2,0.18,0.18,0,0.254558,0.254558,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
19,1,2,0.19,0.19,0,0.268701,0.268701,0,-0.0000000,-0.000000000,-0.00000000,-0.00000000,1
20,1,2,0.2,0.2,0,0.282843,0.282843,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
24,1,2,0.24,0.24,0,0.339411,0.339411,0,0.000000000,0.000000000,0.000000000,0.000000000,1
27,1,2,0.27,0.27,0,0.381838,0.381838,0,0.000000000,0.00000000,0.000000000,0.00000000,1
28,1,2,0.28,0.28,0,0.39598,0.39598,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
29,1,2,0.29,0.29,0,0.410122,0.410122,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
30,1,2,0.3,0.3,0,0.424264,0.424264,0,0.000000000,-0.000000000,-0.000000000,-0.000000000,1
31,1,2,0.31,0.31,0,0.438406,0.438406,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
32,1,2,0.32,0.32,0,0.452548,0.452548,0,-0.000000000,-0.00000000,-0.000000000,-0.000000000,1
33,1,2,0.33,0.33,0,0.46669,0.46669,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
34,1,2,0.34,0.34,0,0.480833,0.480833,0,-0.00000000,-0.000000000,0.000000000,0.000000000,1
35,1,2,0.35,0.35,0,0.494975,0.494975,0,-0.000000000,-0.000000000,0.000000000,0.00000000,1
36,1,2,0.36,0.36,0,0.509117,0.509117,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
37,1,2,0.37,0.37,0,0.523259,0.523259,0,-0.000000000,-0.000000000,0.000000000,0.000000000,1
38,1,2,0.38,0.38,0,0.537401,0.537401,0,-0.00000000,-0.000000000,-0.000000000,-0.000000000,1
39,1,2,0.39,0.39,0,0.551543,0.551543,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
